#{"t_start": 1753780783.2422848, "env_id": "None"}
r,l,t
1448.521949,228,299.209746
50.099106,101,299.252243
1516.471544,217,299.342048
83.075736,116,299.390215
1490.941938,189,300.417973
1408.050862,226,300.516008
6.32222,86,300.551734
1368.77319,237,300.648962
1652.869591,191,300.728247
1865.230665,478,301.950615
1880.061282,482,302.206992
2158.873028,459,302.417401
1713.094054,750,302.778687
849.522881,412,302.956822
397.377841,218,303.958105
1420.91135,278,304.073151
335.156118,220,304.206933
1359.770284,243,304.307049
44.971784,138,304.367864
1506.009864,240,305.368574
470.064548,218,305.458439
1433.089598,256,305.56446
460.568107,239,305.663741
239.997752,170,305.736913
-88.713853,58,306.736991
1459.573285,201,306.821783
1545.569278,214,306.938872
1544.158401,216,307.066606
1459.767653,227,307.186846
116.3846,165,308.411024
1496.178044,236,308.509764
-63.462022,59,308.534239
1519.294164,240,308.632662
1711.124981,207,308.718143
234.144901,214,309.712612
1674.938561,214,309.801824
25.930068,110,309.846523
1308.882689,254,309.949697
1437.748417,231,310.050265
1398.615284,229,311.108906
1520.410949,220,311.200727
1539.124532,217,311.290037
1520.638601,220,311.384495
1473.222496,259,311.492453
